Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
497,Brandan Wright\wrighbr03,PF,30,TOT,28,1,13.6,2.1,3.6,.578,0.0,0.0,,2.1,3.6,.578,.578,0.8,1.2,.636,1.2,2.2,3.4,0.5,0.5,0.9,0.3,1.1,5.0
497,Brandan Wright\wrighbr03,PF,30,MEM,27,1,13.6,2.1,3.7,.576,0.0,0.0,,2.1,3.7,.576,.576,0.8,1.2,.636,1.2,2.3,3.4,0.5,0.5,0.9,0.3,1.1,5.0
497,Brandan Wright\wrighbr03,PF,30,HOU,1,0,15.0,2.0,3.0,.667,0.0,0.0,,2.0,3.0,.667,.667,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,4.0
498,Delon Wright\wrighde01,PG,25,TOR,47,3,21.3,3.0,6.3,.471,0.8,2.1,.376,2.2,4.2,.520,.535,1.6,1.8,.869,0.7,2.3,2.9,2.8,1.1,0.5,1.3,1.2,8.3
499,Guerschon Yabusele\yabusgu01,PF,22,BOS,22,0,5.0,0.6,1.5,.406,0.4,1.0,.364,0.2,0.5,.500,.531,0.2,0.4,.556,0.5,0.9,1.4,0.3,0.0,0.0,0.3,0.6,1.8
500,James Young\youngja01,SG,22,PHI,5,0,10.4,0.8,2.4,.333,0.6,2.0,.300,0.2,0.4,.500,.458,0.8,1.2,.667,0.0,0.4,0.4,0.4,0.0,0.0,0.0,0.6,3.0
501,Joe Young\youngjo01,PG,25,IND,43,1,10.6,1.5,3.3,.455,0.4,1.2,.373,1.1,2.1,.500,.521,0.4,0.6,.720,0.1,1.0,1.1,0.7,0.2,0.0,0.5,0.7,3.9
502,Nick Young\youngni01,SG,32,GSW,59,1,14.4,2.4,5.4,.442,1.5,3.7,.399,0.9,1.7,.535,.579,0.4,0.6,.743,0.2,1.1,1.3,0.4,0.5,0.1,0.4,1.1,6.7
503,Thaddeus Young\youngth01,PF,29,IND,60,60,32.8,5.3,10.8,.493,0.9,2.4,.349,4.5,8.4,.535,.532,0.6,1.1,.571,2.1,3.9,6.1,2.1,1.6,0.4,1.3,2.2,12.1
504,Cody Zeller\zelleco01,C,25,CHO,29,0,19.3,2.5,4.9,.518,0.1,0.1,.667,2.4,4.8,.514,.525,1.9,2.7,.718,2.1,3.3,5.5,1.0,0.4,0.7,1.1,2.5,7.0
505,Tyler Zeller\zellety01,C,28,TOT,48,33,16.9,3.0,5.3,.561,0.2,0.6,.357,2.8,4.7,.586,.580,0.8,1.3,.667,1.6,3.1,4.6,0.6,0.2,0.5,0.9,1.9,7.0
505,Tyler Zeller\zellety01,C,28,BRK,42,33,16.7,3.0,5.5,.546,0.2,0.6,.385,2.7,4.8,.567,.568,1.0,1.4,.667,1.5,3.1,4.6,0.7,0.2,0.5,0.8,1.9,7.1
505,Tyler Zeller\zellety01,C,28,MIL,6,0,17.7,3.0,4.3,.692,0.0,0.3,.000,3.0,4.0,.750,.692,0.0,0.0,,2.3,2.7,5.0,0.5,0.0,0.7,1.0,2.0,6.0
506,Paul Zipser\zipsepa01,SF,23,CHI,49,9,14.9,1.5,4.1,.360,0.7,1.9,.348,0.8,2.3,.369,.438,0.2,0.4,.667,0.2,2.1,2.4,0.8,0.4,0.2,0.8,1.5,3.9
507,Ante Zizic\zizican01,C,21,CLE,16,1,3.0,0.4,0.8,.462,0.0,0.0,,0.4,0.8,.462,.462,0.3,0.4,.714,0.4,0.7,1.1,0.1,0.0,0.3,0.2,0.3,1.1
508,Ivica Zubac\zubaciv01,C,20,LAL,21,0,6.6,1.4,2.3,.604,0.0,0.0,,1.4,2.3,.604,.604,0.6,0.8,.706,0.7,1.1,1.8,0.2,0.0,0.1,0.6,0.9,3.3
