numa,ida,numb,idb,kmdist,midist
2,USA,452,GHA,8540,5325
2,USA,461,TOG,8559,5337
2,USA,471,CAO,9657,6021
2,USA,475,NIG,8744,5452
2,USA,481,GAB,9696,6046
2,USA,482,CEN,10209,6366
2,USA,483,CHA,9338,5823
2,USA,484,CON,10484,6537
2,USA,490,DRC,10484,6537
2,USA,500,UGA,11674,7279
2,USA,501,KEN,12116,7554
2,USA,510,TAZ,12691,7913
2,USA,511,ZAN,12686,7910
2,USA,516,BUI,11623,7247
2,USA,517,RWA,11557,7206
2,USA,520,SOM,12582,7845
2,USA,522,DJI,11654,7267
2,USA,530,ETH,11513,7178
2,USA,531,ERI,11041,6884
2,USA,540,ANG,10578,6596
2,USA,541,MZM,13403,8357
2,USA,551,ZAM,12375,7716
2,USA,552,ZIM,12721,7932
2,USA,553,MAW,12690,7913
2,USA,560,SAF,12989,8099
2,USA,563,TRA,12989,8099
2,USA,564,OFS,13048,8136
2,USA,565,NAM,11858,7394
2,USA,570,LES,13123,8183
2,USA,571,BOT,12730,7937
2,USA,572,SWA,13287,8285
2,USA,580,MAG,14225,8870
2,USA,581,COM,13383,8344
2,USA,590,MAS,15205,9481
2,USA,591,SEY,13912,8675
2,USA,600,MOR,6187,3858
2,USA,615,ALG,6824,4255
2,USA,616,TUN,7377,4600
2,USA,620,LIB,7874,4910
2,USA,625,SUD,10577,6595
2,USA,630,IRN,10233,6381
2,USA,640,TUR,8782,5476
2,USA,645,IRQ,9988,6228
2,USA,651,EGY,9355,5833
2,USA,652,SYR,9470,5905
2,USA,660,LEB,9411,5868
2,USA,663,JOR,9598,5985
2,USA,666,ISR,9449,5892
2,USA,670,SAU,10899,6796
2,USA,678,YAR,11457,7144
2,USA,679,YEM,11457,7144
2,USA,680,YPR,11758,7331
2,USA,690,KUW,10554,6581
2,USA,692,BAH,11017,6870
2,USA,694,QAT,11059,6895
2,USA,696,UAE,11388,7101
2,USA,698,OMA,11715,7305
2,USA,700,AFG,11184,6974
2,USA,701,TKM,10407,6489
2,USA,702,TAJ,10774,6718
2,USA,703,KYR,10566,6588
2,USA,704,UZB,10494,6544
2,USA,705,KZK,10540,6572
2,USA,710,CHN,11236,7006
2,USA,711,TBT,12293,7665
2,USA,712,MON,10445,6513
2,USA,713,TAW,12648,7886
2,USA,730,KOR,11218,6994
2,USA,731,PRK,11046,6887
2,USA,732,ROK,11218,6994
2,USA,740,JPN,10960,6834
2,USA,750,IND,12106,7548
2,USA,760,BHU,12551,7826
2,USA,770,PAK,11431,7128
2,USA,771,BNG,13000,8106
2,USA,775,MYA,13859,8641
2,USA,780,SRI,14469,9022
2,USA,790,NEP,12451,7764
2,USA,781,MAD,14406,8983
2,USA,800,THI,14227,8871
2,USA,811,CAM,14454,9013
2,USA,812,LAO,13787,8596
2,USA,815,VNM,14478,9027
2,USA,816,DRV,13347,8322
2,USA,817,RVN,14478,9028
2,USA,820,MAL,15350,9571
2,USA,830,SIN,15572,9709
2,USA,835,BRU,15040,9378
2,USA,840,PHI,13834,8626
2,USA,850,INS,16337,10187
2,USA,860,ETM,15953,9947
2,USA,900,AUL,15923,9929
2,USA,910,PNG,14497,9039
2,USA,920,NEW,14058,8765
2,USA,935,VAN,13343,8320
2,USA,940,SOL,13473,8401
2,USA,950,FJI,12479,7781
2,USA,983,MSI,11460,7145
2,USA,986,PAL,13915,8676
2,USA,987,FSM,12382,7721
2,USA,990,WSM,12723,7933
20,CAN,2,USA,731,456
20,CAN,31,BHM,2343,1461
20,CAN,40,CUB,2536,1581
20,CAN,41,HAI,2979,1858
20,CAN,42,DOM,3027,1888
20,CAN,51,JAM,3039,1895
20,CAN,52,TRI,4087,2548
20,CAN,53,BAR,3885,2422
20,CAN,54,DMA,3787,2361
20,CAN,55,GRN,3922,2446
20,CAN,56,SLU,3753,2340
20,CAN,57,SVG,3817,2380
20,CAN,58,AAB,3397,2118
20,CAN,60,SKN,3334,2079
20,CAN,80,BLZ,3304,2060
20,CAN,70,MEX,3591,2239
20,CAN,90,GUA,3681,2295
20,CAN,91,HON,3633,2265
20,CAN,92,SAL,3724,2322
20,CAN,93,NIC,3822,2383
20,CAN,94,COS,4009,2500
20,CAN,95,PAN,4054,2528
20,CAN,100,COL,4521,2819
20,CAN,101,VEN,4007,2499
20,CAN,110,GUY,4578,2855
20,CAN,115,SUR,4815,3002
20,CAN,130,ECU,5042,3144
20,CAN,135,PER,6374,3975
20,CAN,140,BRA,7282,4540
20,CAN,145,BOL,6865,4280
20,CAN,150,PAR,8035,5010
20,CAN,155,CHL,8725,5440
20,CAN,160,ARG,8987,5604
20,CAN,165,URU,9041,5637
20,CAN,200,UK,5401,3368
20,CAN,205,IRE,4907,3060
20,CAN,210,NTH,5645,3520
20,CAN,211,BEL,5712,3562
20,CAN,212,LUX,5845,3645
20,CAN,220,FRN,5687,3546
20,CAN,221,MNC,6271,3910
20,CAN,223,LIE,6205,3869
20,CAN,225,SWZ,6125,3819
20,CAN,230,SPN,5712,3561
20,CAN,232,AND,5939,3703
20,CAN,235,POR,5419,3379
20,CAN,255,GMY,6162,3842
20,CAN,260,GFR,5891,3673
20,CAN,265,GDR,6162,3842
20,CAN,290,POL,6599,4115
20,CAN,300,AUH,6577,4101
20,CAN,305,AUS,6577,4101
20,CAN,310,HUN,6812,4248
20,CAN,315,CZE,6342,3954
20,CAN,316,CZR,6342,3954
20,CAN,317,SLO,6628,4132
20,CAN,325,ITA,6793,4236
20,CAN,331,SNM,6602,4116
20,CAN,338,MLT,7284,4542
20,CAN,339,ALB,7265,4530
20,CAN,345,SER,7097,4425
20,CAN,341,MNG,7134,4448
20,CAN,343,MAC,7306,4556
20,CAN,344,CRO,6747,4207
20,CAN,345,YUG,7097,4425
20,CAN,346,BOS,7040,4390
20,CAN,349,SLV,6592,4111
20,CAN,350,GRC,7738,4825
20,CAN,352,CYP,8585,5353
20,CAN,355,BUL,7417,4625
20,CAN,359,MLD,7380,4602
20,CAN,360,RUM,7446,4643
20,CAN,365,RUS,7215,4499
20,CAN,366,EST,6331,3947
20,CAN,367,LAT,6494,4049
20,CAN,368,LIT,6697,4176
20,CAN,369,UKR,7245,4517
20,CAN,370,BLR,6877,4288
20,CAN,371,ARM,8805,5490
20,CAN,372,GRG,8818,5498
20,CAN,373,AZE,9074,5658
20,CAN,375,FIN,6278,3915
20,CAN,380,SWD,6009,3747
20,CAN,385,NOR,5634,3513
20,CAN,390,DEN,5936,3701
20,CAN,395,ICE,3876,2417
20,CAN,402,CAP,5783,3606
20,CAN,403,STP,9350,5830
20,CAN,404,GNB,6802,4241
20,CAN,411,EQG,9505,5926
20,CAN,420,GAM,6569,4096
20,CAN,432,MLI,7312,4559
20,CAN,433,SEN,6426,4007
20,CAN,434,BEN,8613,5370
20,CAN,435,MAA,6235,3888
20,CAN,436,NIR,8028,5006
20,CAN,437,CDI,7990,4982
20,CAN,438,GUI,7116,4437
20,CAN,439,BFO,7820,4876
20,CAN,450,LBR,7574,4723
20,CAN,451,SIE,7222,4503
20,CAN,452,GHA,8498,5298
20,CAN,461,TOG,8499,5299
20,CAN,471,CAO,9536,5946
20,CAN,475,NIG,8665,5403
20,CAN,481,GAB,9621,5999
20,CAN,482,CEN,10020,6248
20,CAN,483,CHA,9106,5678
20,CAN,484,CON,10398,6483
20,CAN,490,DRC,10398,6483
20,CAN,500,UGA,11405,7112
20,CAN,501,KEN,11820,7370
20,CAN,510,TAZ,12420,7744
20,CAN,511,ZAN,12416,7742
20,CAN,516,BUI,11409,7114
20,CAN,517,RWA,11319,7057
20,CAN,520,SOM,12188,7600
20,CAN,522,DJI,11210,6990
20,CAN,530,ETH,11120,6934
20,CAN,531,ERI,10600,6610
20,CAN,540,ANG,10548,6577
20,CAN,541,MZM,13406,8359
20,CAN,551,ZAM,12286,7661
20,CAN,552,ZIM,12633,7877
20,CAN,553,MAW,12537,7817
20,CAN,560,SAF,13011,8113
20,CAN,563,TRA,13011,8113
20,CAN,564,OFS,13134,8189
20,CAN,565,NAM,11933,7441
20,CAN,570,LES,13200,8231
20,CAN,571,BOT,12759,7955
20,CAN,572,SWA,13299,8292
20,CAN,580,MAG,14003,8731
20,CAN,581,COM,13124,8183
20,CAN,590,MAS,14910,9297
20,CAN,591,SEY,13480,8405
20,CAN,600,MOR,5896,3676
20,CAN,615,ALG,6441,4016
20,CAN,616,TUN,6956,4337
20,CAN,620,LIB,7470,4658
20,CAN,625,SUD,10185,6351
20,CAN,630,IRN,9611,5993
20,CAN,640,TUR,8225,5128
20,CAN,645,IRQ,9410,5867
20,CAN,651,EGY,8864,5527
20,CAN,652,SYR,8932,5569
20,CAN,660,LEB,8878,5536
20,CAN,663,JOR,9074,5658
20,CAN,666,ISR,8926,5566
20,CAN,670,SAU,10352,6455
20,CAN,678,YAR,10981,6847
20,CAN,679,YEM,10981,6847
20,CAN,680,YPR,11295,7042
20,CAN,690,KUW,9976,6220
20,CAN,692,BAH,10435,6506
20,CAN,694,QAT,10479,6534
20,CAN,696,UAE,10796,6731
20,CAN,698,OMA,11105,6924
20,CAN,700,AFG,10496,6545
20,CAN,701,TKM,9750,6079
20,CAN,702,TAJ,10080,6285
20,CAN,703,KYR,9853,6143
20,CAN,704,UZB,9794,6107
20,CAN,705,KZK,9822,6124
20,CAN,710,CHN,10544,6574
20,CAN,711,TBT,11564,7210
20,CAN,712,MON,9728,6065
20,CAN,713,TAW,11992,7477
20,CAN,730,KOR,10568,6590
20,CAN,731,PRK,10388,6477
20,CAN,732,ROK,10568,6590
20,CAN,740,JPN,10382,6474
20,CAN,750,IND,11401,7109
20,CAN,760,BHU,11823,7372
20,CAN,770,PAK,10733,6692
20,CAN,771,BNG,12272,7652
20,CAN,775,MYA,13128,8186
20,CAN,780,SRI,13789,8598
20,CAN,790,NEP,11729,7313
20,CAN,781,MAD,13779,8592
20,CAN,800,THI,13500,8417
20,CAN,811,CAM,13735,8564
20,CAN,812,LAO,13063,8145
20,CAN,815,VNM,13764,8582
20,CAN,816,DRV,12630,7875
20,CAN,817,RVN,13764,8582
20,CAN,820,MAL,14623,9118
20,CAN,830,SIN,14850,9259
20,CAN,835,BRU,14371,8961
20,CAN,840,PHI,13192,8225
20,CAN,850,INS,15629,9745
20,CAN,860,ETM,15436,9625
20,CAN,900,AUL,16084,10029
20,CAN,910,PNG,14256,8889
20,CAN,920,NEW,14456,9014
20,CAN,935,VAN,13382,8344
20,CAN,940,SOL,13347,8322
20,CAN,950,FJI,12638,7880
20,CAN,983,MSI,11262,7022
20,CAN,986,PAL,13407,8360
20,CAN,987,FSM,12111,7552
20,CAN,990,WSM,12782,7970
31,BHM,2,USA,1623,1012
31,BHM,20,CAN,2343,1461
31,BHM,40,CUB,655,409
31,BHM,41,HAI,727,453
31,BHM,42,DOM,891,555
31,BHM,51,JAM,700,436
31,BHM,52,TRI,2163,1349
31,BHM,53,BAR,2123,1324
31,BHM,54,DMA,1948,1215
31,BHM,55,GRN,2024,1262
31,BHM,56,SLU,1938,1208
31,BHM,57,SVG,1977,1233
31,BHM,58,AAB,1678,1046
31,BHM,60,SKN,1575,982
31,BHM,80,BLZ,1470,916
31,BHM,70,MEX,2443,1524
31,BHM,90,GUA,1853,1155
31,BHM,91,HON,1632,1018
31,BHM,92,SAL,1801,1123
31,BHM,93,NIC,1728,1078
31,BHM,94,COS,1804,1125
31,BHM,95,PAN,1735,1082
31,BHM,100,COL,2185,1362
31,BHM,101,VEN,1843,1149
31,BHM,110,GUY,2704,1686
31,BHM,115,SUR,3020,1883
31,BHM,130,ECU,2705,1686
31,BHM,135,PER,4032,2514
31,BHM,140,BRA,5344,3332
31,BHM,145,BOL,4562,2844
31,BHM,150,PAR,5829,3634
31,BHM,155,CHL,6392,3986
31,BHM,160,ARG,6735,4200
31,BHM,165,URU,6812,4248
31,BHM,200,UK,6983,4354
31,BHM,205,IRE,6529,4071
31,BHM,210,NTH,7289,4545
31,BHM,211,BEL,7289,4545
31,BHM,212,LUX,7424,4629
31,BHM,220,FRN,7180,4477
31,BHM,221,MNC,7659,4776
31,BHM,223,LIE,7728,4819
31,BHM,225,SWZ,7593,4734
31,BHM,230,SPN,6842,4266
31,BHM,232,AND,7221,4502
31,BHM,235,POR,6402,3992
31,BHM,255,GMY,7868,4906
31,BHM,260,GFR,7488,4669
31,BHM,265,GDR,7868,4906
31,BHM,290,POL,8367,5217
31,BHM,300,AUH,8191,5107
31,BHM,305,AUS,8191,5107
31,BHM,310,HUN,8427,5255
31,BHM,315,CZE,7997,4986
31,BHM,316,CZR,7997,4986
31,BHM,317,SLO,8250,5144
31,BHM,325,ITA,8155,5085
31,BHM,331,SNM,8046,5017
31,BHM,338,MLT,8505,5303
31,BHM,339,ALB,8719,5436
31,BHM,345,SER,8644,5390
31,BHM,341,MNG,8619,5374
31,BHM,343,MAC,8808,5492
31,BHM,344,CRO,8271,5157
31,BHM,345,YUG,8644,5390
31,BHM,346,BOS,8535,5322
31,BHM,349,SLV,8128,5068
31,BHM,350,GRC,9157,5710
31,BHM,352,CYP,10075,6282
31,BHM,355,BUL,8943,5576
31,BHM,359,MLD,9099,5674
31,BHM,360,RUM,9060,5649
31,BHM,365,RUS,9189,5729
31,BHM,366,EST,8291,5169
31,BHM,367,LAT,8385,5228
31,BHM,368,LIT,8551,5331
31,BHM,369,UKR,9052,5644
31,BHM,370,BLR,8726,5441
31,BHM,371,ARM,10577,6595
31,BHM,372,GRG,10596,6607
31,BHM,373,AZE,10923,6811
31,BHM,375,FIN,8260,5150
31,BHM,380,SWD,7931,4945
31,BHM,385,NOR,7522,4690
31,BHM,390,DEN,7722,4815
31,BHM,395,ICE,5887,3671
31,BHM,402,CAP,5473,3412
31,BHM,403,STP,9246,5765
31,BHM,404,GNB,6506,4057
31,BHM,411,EQG,9505,5926
31,BHM,420,GAM,6326,3944
31,BHM,432,MLI,7242,4516
31,BHM,433,SEN,6202,3867
31,BHM,434,BEN,8579,5349
31,BHM,435,MAA,6212,3874
31,BHM,436,NIR,8228,5131
31,BHM,437,CDI,7768,4843
31,BHM,438,GUI,6794,4236
31,BHM,439,BFO,7901,4926
31,BHM,450,LBR,7214,4498
31,BHM,451,SIE,6871,4284
31,BHM,452,GHA,8371,5219
31,BHM,461,TOG,8429,5256
31,BHM,471,CAO,9607,5991
31,BHM,475,NIG,8647,5392
31,BHM,481,GAB,9544,5951
31,BHM,482,CEN,10289,6415
31,BHM,483,CHA,9556,5958
31,BHM,484,CON,10320,6435
31,BHM,490,DRC,10320,6435
31,BHM,500,UGA,11868,7400
31,BHM,501,KEN,12354,7703
31,BHM,510,TAZ,12842,8007
31,BHM,511,ZAN,12832,8001
31,BHM,516,BUI,11692,7291
31,BHM,517,RWA,11687,7287
31,BHM,520,SOM,13040,8131
31,BHM,522,DJI,12287,7661
31,BHM,530,ETH,12019,7494
31,BHM,531,ERI,11688,7288
31,BHM,540,ANG,10285,6413
31,BHM,541,MZM,12905,8047
31,BHM,551,ZAM,12126,7561
31,BHM,552,ZIM,12452,7764
31,BHM,553,MAW,12566,7835
31,BHM,560,SAF,12473,7777
31,BHM,563,TRA,12473,7777
31,BHM,564,OFS,12402,7733
31,BHM,565,NAM,11288,7038
31,BHM,570,LES,12489,7787
31,BHM,571,BOT,12213,7615
31,BHM,572,SWA,12776,7966
31,BHM,580,MAG,14162,8830
31,BHM,581,COM,13462,8394
31,BHM,590,MAS,15232,9497
31,BHM,591,SEY,14398,8978
31,BHM,600,MOR,6697,4176
31,BHM,615,ALG,7502,4678
31,BHM,616,TUN,8120,5063
31,BHM,620,LIB,8554,5334
31,BHM,625,SUD,11122,6935
31,BHM,630,IRN,11401,7109
31,BHM,640,TUR,9806,6114
31,BHM,645,IRQ,11039,6883
31,BHM,651,EGY,10192,6355
31,BHM,652,SYR,10424,6500
31,BHM,660,LEB,10357,6458
31,BHM,663,JOR,10513,6555
31,BHM,666,ISR,10367,6464
31,BHM,670,SAU,11835,7380
31,BHM,678,YAR,12183,7596
31,BHM,679,YEM,12183,7596
31,BHM,680,YPR,12436,7754
31,BHM,690,KUW,11589,7226
31,BHM,692,BAH,12052,7515
31,BHM,694,QAT,12084,7535
31,BHM,696,UAE,12439,7756
31,BHM,698,OMA,12813,7989
31,BHM,700,AFG,12551,7826
31,BHM,701,TKM,11679,7282
31,BHM,702,TAJ,12168,7587
31,BHM,703,KYR,12039,7507
31,BHM,704,UZB,11915,7429
31,BHM,705,KZK,12038,7506
31,BHM,710,CHN,12847,8010
31,BHM,711,TBT,13857,8640
31,BHM,712,MON,12068,7525
31,BHM,713,TAW,14209,8860
31,BHM,730,KOR,12776,7966
31,BHM,731,PRK,12616,7867
31,BHM,732,ROK,12776,7966
31,BHM,740,JPN,12408,7737
31,BHM,750,IND,13526,8434
31,BHM,760,BHU,14098,8791
31,BHM,770,PAK,12834,8003
31,BHM,771,BNG,14545,9069
31,BHM,775,MYA,15441,9628
31,BHM,780,SRI,15733,9810
31,BHM,790,NEP,13957,8703
31,BHM,781,MAD,15469,9645
31,BHM,800,THI,15836,9874
31,BHM,811,CAM,16077,10024
31,BHM,812,LAO,15405,9606
31,BHM,815,VNM,16100,10039
31,BHM,816,DRV,14970,9334
31,BHM,817,RVN,16101,10040
31,BHM,820,MAL,16962,10576
31,BHM,830,SIN,17193,10720
31,BHM,835,BRU,16606,10354
31,BHM,840,PHI,15362,9579
31,BHM,850,INS,17956,11196
31,BHM,860,ETM,17123,10677
31,BHM,900,AUL,15519,9677
31,BHM,910,PNG,15115,9425
31,BHM,920,NEW,13302,8294
31,BHM,935,VAN,13417,8366
31,BHM,940,SOL,13902,8668
31,BHM,950,FJI,12337,7693
31,BHM,983,MSI,12146,7573
31,BHM,986,PAL,15168,9457
31,BHM,987,FSM,13184,8221
31,BHM,990,WSM,12787,7973
40,CUB,2,USA,1813,1130
40,CUB,20,CAN,2536,1581
40,CUB,31,BHM,655,409
40,CUB,41,HAI,1152,718
40,CUB,42,DOM,1381,861
40,CUB,51,JAM,810,505
40,CUB,52,TRI,2624,1636
40,CUB,53,BAR,2646,1650
40,CUB,54,DMA,2458,1532
40,CUB,55,GRN,2505,1562
40,CUB,56,SLU,2456,1532
40,CUB,57,SVG,2484,1549
40,CUB,58,AAB,2245,1400
40,CUB,60,SKN,2140,1334
40,CUB,80,BLZ,876,546
40,CUB,70,MEX,1788,1115
40,CUB,90,GUA,1276,795
40,CUB,91,HON,1130,704
40,CUB,92,SAL,1262,787
40,CUB,93,NIC,1293,806
40,CUB,94,COS,1476,920
40,CUB,95,PAN,1603,999
40,CUB,100,COL,2235,1393
40,CUB,101,VEN,2185,1362
40,CUB,110,GUY,3154,1966
40,CUB,115,SUR,3486,2174
40,CUB,130,ECU,2604,1624
40,CUB,135,PER,3953,2465
40,CUB,140,BRA,5680,3542
40,CUB,145,BOL,4628,2886
40,CUB,150,PAR,5989,3734
40,CUB,155,CHL,6368,3971
40,CUB,160,ARG,6837,4263
40,CUB,165,URU,6937,4325
40,CUB,200,UK,7510,4683
40,CUB,205,IRE,7043,4392
40,CUB,210,NTH,7805,4867
40,CUB,211,BEL,7819,4876
40,CUB,212,LUX,7955,4960
40,CUB,220,FRN,7726,4817
40,CUB,221,MNC,8227,5130
40,CUB,223,LIE,8273,5158
40,CUB,225,SWZ,8147,5080
40,CUB,230,SPN,7440,4639
40,CUB,232,AND,7802,4865
40,CUB,235,POR,7014,4373
40,CUB,255,GMY,8374,5222
40,CUB,260,GFR,8016,4998
40,CUB,265,GDR,8374,5222
40,CUB,290,POL,8861,5525
40,CUB,300,AUH,8721,5438
40,CUB,305,AUS,8721,5438
40,CUB,310,HUN,8958,5586
40,CUB,315,CZE,8516,5310
40,CUB,316,CZR,8516,5310
40,CUB,317,SLO,8778,5473
40,CUB,325,ITA,8731,5444
40,CUB,331,SNM,8608,5367
40,CUB,338,MLT,9103,5676
40,CUB,339,ALB,9284,5789
40,CUB,345,SER,9190,5730
40,CUB,341,MNG,9178,5722
40,CUB,343,MAC,9364,5839
40,CUB,344,CRO,8820,5499
40,CUB,345,YUG,9190,5730
40,CUB,346,BOS,9091,5668
40,CUB,349,SLV,8674,5408
40,CUB,350,GRC,9730,6067
40,CUB,352,CYP,10641,6635
40,CUB,355,BUL,9496,5921
40,CUB,359,MLD,9611,5992
40,CUB,360,RUM,9595,5983
40,CUB,365,RUS,9622,6000
40,CUB,366,EST,8725,5440
40,CUB,367,LAT,8843,5514
40,CUB,368,LIT,9021,5625
40,CUB,369,UKR,9539,5948
40,CUB,370,BLR,9199,5736
40,CUB,371,ARM,11083,6911
40,CUB,372,GRG,11101,6922
40,CUB,373,AZE,11409,7114
40,CUB,375,FIN,8686,5416
40,CUB,380,SWD,8376,5223
40,CUB,385,NOR,7975,4973
40,CUB,390,DEN,8207,5117
40,CUB,395,ICE,6286,3920
40,CUB,402,CAP,6121,3817
40,CUB,403,STP,9889,6166
40,CUB,404,GNB,7150,4458
40,CUB,411,EQG,10152,6330
40,CUB,420,GAM,6973,4348
40,CUB,432,MLI,7894,4922
40,CUB,433,SEN,6851,4272
40,CUB,434,BEN,9228,5754
40,CUB,435,MAA,6867,4282
40,CUB,436,NIR,8883,5539
40,CUB,437,CDI,8410,5244
40,CUB,438,GUI,7435,4636
40,CUB,439,BFO,8555,5334
40,CUB,450,LBR,7850,4895
40,CUB,451,SIE,7510,4683
40,CUB,452,GHA,9016,5622
40,CUB,461,TOG,9076,5659
40,CUB,471,CAO,10257,6396
40,CUB,475,NIG,9296,5796
40,CUB,481,GAB,10187,6352
40,CUB,482,CEN,10943,6823
40,CUB,483,CHA,10211,6367
40,CUB,484,CON,10960,6834
40,CUB,490,DRC,10960,6834
40,CUB,500,UGA,12524,7809
40,CUB,501,KEN,13009,8112
40,CUB,510,TAZ,13495,8415
40,CUB,511,ZAN,13485,8408
40,CUB,516,BUI,12345,7697
40,CUB,517,RWA,12341,7695
40,CUB,520,SOM,13691,8537
40,CUB,522,DJI,12920,8056
40,CUB,530,ETH,12664,7896
40,CUB,531,ERI,12318,7681
40,CUB,540,ANG,10912,6804
40,CUB,541,MZM,13481,8406
40,CUB,551,ZAM,12750,7950
40,CUB,552,ZIM,13071,8150
40,CUB,553,MAW,13201,8231
40,CUB,560,SAF,13049,8136
40,CUB,563,TRA,13049,8136
40,CUB,564,OFS,12950,8075
40,CUB,565,NAM,11862,7396
40,CUB,570,LES,13039,8130
40,CUB,571,BOT,12792,7976
40,CUB,572,SWA,13350,8324
40,CUB,580,MAG,14796,9226
40,CUB,581,COM,14111,8799
40,CUB,590,MAS,15868,9894
40,CUB,591,SEY,15050,9384
40,CUB,600,MOR,7328,4569
40,CUB,615,ALG,8114,5059
40,CUB,616,TUN,8723,5439
40,CUB,620,LIB,9170,5718
40,CUB,625,SUD,11762,7334
40,CUB,630,IRN,11907,7425
40,CUB,640,TUR,10353,6456
40,CUB,645,IRQ,11584,7223
40,CUB,651,EGY,10786,6725
40,CUB,652,SYR,10993,6854
40,CUB,660,LEB,10927,6813
40,CUB,663,JOR,11092,6916
40,CUB,666,ISR,10944,6824
40,CUB,670,SAU,12414,7740
40,CUB,678,YAR,12804,7984
40,CUB,679,YEM,12804,7984
40,CUB,680,YPR,13065,8146
40,CUB,690,KUW,12141,7570
40,CUB,692,BAH,12606,7860
40,CUB,694,QAT,12640,7882
40,CUB,696,UAE,12989,8099
40,CUB,698,OMA,13350,8324
40,CUB,700,AFG,12966,8084
40,CUB,701,TKM,12142,7571
40,CUB,702,TAJ,12564,7834
40,CUB,703,KYR,12376,7717
40,CUB,704,UZB,12293,7665
40,CUB,705,KZK,12353,7702
40,CUB,710,CHN,12816,7991
40,CUB,711,TBT,14092,8787
40,CUB,712,MON,12138,7568
40,CUB,713,TAW,14058,8766
40,CUB,730,KOR,12638,7880
40,CUB,731,PRK,12499,7793
40,CUB,732,ROK,12638,7880
40,CUB,740,JPN,12154,7578
40,CUB,750,IND,13906,8671
40,CUB,760,BHU,14356,8952
40,CUB,770,PAK,13226,8247
40,CUB,771,BNG,14805,9231
40,CUB,775,MYA,15638,9751
40,CUB,780,SRI,16217,10112
40,CUB,790,NEP,14264,8894
40,CUB,781,MAD,16033,9997
40,CUB,800,THI,15962,9953
40,CUB,811,CAM,16119,10051
40,CUB,812,LAO,15495,9662
40,CUB,815,VNM,16106,10043
